,主催者,共催・協力,タイトル,サブタイトル,内容,サブイベント,学ぶ,ふれる・感じる,体を動かす,奏でる,乗る,見る,作る・描く,収穫・採集する,その他,"集合
場所",建物,住所,緯度,経度,所要時間,開始日,終了日,開始時間,終了時間,スケジュール備考,開始時間,終了時間,スケジュール備考,就学前,小学生低学年,小学生中学年,小学校高学年,中学生,高校生以上,対象者備考,募集人数,事前登録,申し込み方法,"申込
締切","申込み・問合せ先
",料金種別,金額,料金備考,問合せ先部署名,郵便番号,住所,電話番号,FAX番号,内線,email,ウエブサイトURL,説明
CAS001,内閣官房,,遊んで・学んで・君もＩＴマスター！,ITで未来の世界を体験しよう！," 「ITの力」ってこんなにすごいんだよ！
みんなも知ろう、最先端のITの力を！！
親子で楽しめる展示・体験イベントをやってるから、みんな来てね！！！　　　　　　　　　　　",,1,1,,,,1,,,,中央合同庁舎第4号館408会議室,中央合同庁舎第4号館,東京都千代田区霞が関3-1-1,35.67363,139.747559,,2017-08-02,2017-08-03,11:00,16:00,,,,,,1,1,1,1,,,ー,不要,,,"担当部署：内閣官房情報通信技術(IT)総合戦略室
郵便番号：100-0013 
住所：東京都千代田区霞が関3-3-1尚友会館２階
直通電話：03-5253-2111
web：https://www.facebook.com/itkodomoday",無料,,,内閣官房情報通信技術(IT)総合戦略室,100-0013 ,東京都千代田区霞が関3-3-1尚友会館２階,03-5253-2111,,,,https://www.facebook.com/itkodomoday,
CAO001,内閣府,,アニメ「めぐみ」上映と拉致問題啓発パネル展示,,"・中学1年生だった横田めぐみさんが、下校途中、北朝鮮の工作員に拉致された事件を題材としたアニメを上映します。
・北朝鮮に拉致された被害者に関するパネル展示を行います。",,1,1,,,,1,,,,合同庁舎８号館１階講堂ステージ前,合同庁舎８号館,東京都千代田区永田町1-6-1,35.672816,139.74537,,2017-08-02,2017-08-03,10:30,16:00,,,,,,,,1,1,1,,,不要,,,"担当部署：内閣府大臣官房政策評価広報課
郵便番号：100-8914
住所：東京都千代田区永田町1-6-1中央合同庁舎第8号館
代表電話：03-5253-2111
直通電話：
03-6257-1297（広報課代表）
03-6257-1383（報道室代表）
web：http://www.cao.go.jp/",無料,,,内閣府大臣官房政策評価広報課,100-8914,東京都千代田区永田町1-6-1中央合同庁舎第8号館,03-5253-2111,,,,http://www.cao.go.jp/,"03-6257-1297（広報課代表）
03-6257-1383（報道室代表）"
CAO002,内閣府,,アニメ「めぐみ」上映会と北朝鮮の工作船見学,,"・中学1年生だった横田めぐみさんが、下校途中、北朝鮮の工作員に拉致された事件を題材としたアニメを上映します。
・北朝鮮の実物の工作船や武器を、横浜の海上保安資料館で見学します（合同庁舎８号館と横浜の海上保安資料館をバスで往復します）。",,1,,,,,1,,,,合同庁舎８号館１階講堂ステージ前,合同庁舎８号館,東京都千代田区永田町1-6-1,35.672816,139.74537,,2017-08-03,2017-08-03,13:00,16:00,,,,,,,,1,1,1,,"１５名以内
（保護者等も含め３０名以内）",必要,"「往復はがき（7月19日必着）」
",7月19日(必着）,"担当部署：内閣府大臣官房政策評価広報課
郵便番号：100-8914
住所：東京都千代田区永田町1-6-1中央合同庁舎第8号館
代表電話：03-5253-2111
直通電話：
03-6257-1297（広報課代表）
03-6257-1383（報道室代表）
web：http://www.cao.go.jp/",無料,,,内閣府大臣官房政策評価広報課,100-8914,東京都千代田区永田町1-6-1中央合同庁舎第8号館,03-5253-2111,,,,http://www.cao.go.jp/,"03-6257-1297（広報課代表）
03-6257-1383（報道室代表）"
CAO003,内閣府,,「北方領土問題を考えよう！」,,"・「エリカちゃん」と写真撮影をしよう。
・パネル展に参加しよう。
・エリカちゃんのアニメを見よう。
・エリカちゃんの風船をもらおう。　　　　　　　　　　　　",,1,,,,,1,,,,"中央合同庁舎第8号館
1階講堂",中央合同庁舎第8号館,東京都千代田区永田町1-6-1,35.672816,139.74537,,2017-08-02,2017-08-03,10:30,16:00,,,,,1,1,1,1,1,,,,不要,,,"担当部署：内閣府大臣官房政策評価広報課
郵便番号：100-8914
住所：東京都千代田区永田町1-6-1中央合同庁舎第8号館
代表電話：03-5253-2111
直通電話：
03-6257-1297（広報課代表）
03-6257-1383（報道室代表）
web：http://www.cao.go.jp/",無料,,,内閣府大臣官房政策評価広報課,100-8914,東京都千代田区永田町1-6-1中央合同庁舎第8号館,03-5253-2111,,,,http://www.cao.go.jp/,"03-6257-1297（広報課代表）
03-6257-1383（報道室代表）"
CAO004,内閣府,,求む！未来の理工系女子！,,女子生徒等の理工系進路選択を支援する「理工チャレンジ（リコチャレ）」の取組や、先輩の女性技術者・研究者からのメッセージの紹介、実験教室を行います。女の子の参加大歓迎ですが、男の子も参加いただけます。,,1,1,,,,1,,,,合同庁舎8号館1階講堂,中央合同庁舎8号館,東京都千代田区永田町1-6-1,35.672816,139.74537,,2017-08-02,2017-08-03,11:00,16:00,,,,,,1,1,1,1,1,,,不要,,,"担当部署：内閣府大臣官房政策評価広報課
郵便番号：100-8914
住所：東京都千代田区永田町1-6-1中央合同庁舎第8号館
代表電話：03-5253-2111
直通電話：
03-6257-1297（広報課代表）
03-6257-1383（報道室代表）
web：http://www.cao.go.jp/",無料,,,内閣府大臣官房政策評価広報課,100-8914,東京都千代田区永田町1-6-1中央合同庁舎第8号館,03-5253-2111,,,,http://www.cao.go.jp/,"03-6257-1297（広報課代表）
03-6257-1383（報道室代表）"
CAO005,内閣府,,マイナちゃんとマイナンバーについて学ぼう,,"1人に1つ届いているマイナンバー。
でもマイナンバーってどんな時に使うのでしょうか？
そんなマイナンバーについての疑問をクイズなどで楽しく学べます。
※クイズの参加者にはマイナちゃんグッズのプレゼントもあります。",,1,1,,,,1,,,,中央合同庁舎8号館1階講堂,同左,東京都千代田区永田町1-6-1,35.672816,139.74537,,2017-08-02,2017-08-03,10:30,16:00,,,,,,1,1,1,1,,,,不要,,,"担当部署：内閣府大臣官房政策評価広報課
郵便番号：100-8914
住所：東京都千代田区永田町1-6-1中央合同庁舎第8号館
代表電話：03-5253-2111
直通電話：
03-6257-1297（広報課代表）
03-6257-1383（報道室代表）
web：http://www.cao.go.jp/",無料,,,内閣府大臣官房政策評価広報課,100-8914,東京都千代田区永田町1-6-1中央合同庁舎第8号館,03-5253-2111,,,,http://www.cao.go.jp/,"03-6257-1297（広報課代表）
03-6257-1383（報道室代表）"
CAO006,内閣府,消費者庁,食品と生活の安全について学ぼう！,,"①ゲームで学ぶノロウイルス感染症予防
ノロウイルスとは何か、どうしたら感染を防ぐことができるのかを、ゲームを使って学びましょう。みんなで力を合わせて、「トロトロウイルス」に感染してしまったヒツジを助けてくださいね。
②みんなで危険を安全に！
ミニセミナーに参加して、身の回りに潜む危険を知り、事故を防ぐためにはどうすればよいかを考えましょう。
③考えてみよう～食品や生活の安全
ワークショップを通して、食品や生活のリスクについて、考えてみましょう。みんなには、なにができるかな？
",,1,,,,,,,,,中央合同庁舎第4号館6階6-1会議室,中央合同庁舎第4号館,東京都千代田区霞が関3-1-1 ,35.672816,139.74537,60分,2017-08-03,2017-08-03,11:00,12:00,,,,,,1,1,1,1,,,20名（保護者・引率者を除く）,必要,往復はがき（締切日必着）,7/14/17,"担当部署：消費者庁総務課広報室
郵便番号：100－8958
住所：東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階
代表電話：03－3507－8800
直通電話：03－3507－9255
web：http://www.caa.go.jp/",無料,,,消費者庁総務課広報室,100－8958,東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階,03－3507－8800,,,,http://www.caa.go.jp/,直通電話：03－3507－9255
CAO007,内閣府,,世界の笑顔のために,PKO２５周年,"①　夏休みの自由研究
②　ＰＫＯ活動２５年を振り返る写真展
③　日本が協力する難民などへのテント等の物資の展示
④　南スーダンでの国連活動で頑張る司令部要員への応援メッセージ
⑤　国連関係者等による日本への感謝メッセージ等に関するＶＴＲ放映　　など",,1,,,,,1,,,,合同庁舎8号館1階講堂,合同庁舎8号館1階講堂,東京都千代田区永田町1-6-1,35.672816,139.74537,10分程度,2017-08-02,2017-08-03,10:30,16:00,,,,,,1,1,1,1,,小学生～大人,,不要,,,"担当部署：内閣府大臣官房政策評価広報課
郵便番号：100-8914
住所：東京都千代田区永田町1-6-1中央合同庁舎第8号館
代表電話：03-5253-2111
直通電話：
03-6257-1297（広報課代表）
03-6257-1383（報道室代表）
web：http://www.cao.go.jp/",無料,,,内閣府大臣官房政策評価広報課,100-8914,東京都千代田区永田町1-6-1中央合同庁舎第8号館,03-5253-2111,,,,http://www.cao.go.jp/,"03-6257-1297（広報課代表）
03-6257-1383（報道室代表）"
CAO008,内閣府,,子ども災害対策本部,,"・発災時の政府の仕事を災害対策会議を通じて学んでいただきます。
※松本防災担当大臣出席

災害発生の映像を見ながら、子ども達が災害対策本部の『子ども大臣』として初動対応の指示を出すなど、臨場感のある災害対応シミュレーションを経験することで、災害時の政府の対応等について学んでいただきます。",,1,1,,,,1,,,,中央合同庁舎８号館１階講堂（中央合同庁舎８号館３Ｆ　災害対策本部で開催）,中央合同庁舎８号館,東京都千代田区永田町1-6-1,35.672816,139.74537,60分程度,2017-08-03,2017-08-03,13:30,14:30,現時点では大臣の他の日程が不明であるため、変更が生じる場合あり,,,,,1,1,1,1,,,"15名程度
（及びその保護者）",必要,"「往復はがき（7月19日必着）」
",7月19日(必着）,"担当部署：内閣府大臣官房政策評価広報課
郵便番号：100-8914
住所：東京都千代田区永田町1-6-1中央合同庁舎第8号館
代表電話：03-5253-2111
直通電話：
03-6257-1297（広報課代表）
03-6257-1383（報道室代表）
web：http://www.cao.go.jp/",無料,,,内閣府大臣官房政策評価広報課,100-8914,東京都千代田区永田町1-6-1中央合同庁舎第8号館,03-5253-2111,,,,http://www.cao.go.jp/,"03-6257-1297（広報課代表）
03-6257-1383（報道室代表）"
CAO009,内閣府,,災害に備えよう,,"①防災について学ぼう
　・防災についての普及啓発動画上映
　・防災に関する展示物（パネル、ポスター）
　・防災クイズ（正解数によって、プレゼントあ　り）
　・防災ゲーム（防災クロスロード、防災カードゲーム）
 ②誰もが参加できる防災
　・段ボールベット、簡易トイレの使用・組み立て",,1,1,,,,1,,,,中央合同庁舎８号館１階講堂,中央合同庁舎８号館,東京都千代田区永田町1-6-1,35.672816,139.74537,,2017-08-02,2017-08-03,10:30,16:00,,,,,1,1,1,1,1,1,,,不要,,,"担当部署：内閣府大臣官房政策評価広報課
郵便番号：100-8914
住所：東京都千代田区永田町1-6-1中央合同庁舎第8号館
代表電話：03-5253-2111
直通電話：
03-6257-1297（広報課代表）
03-6257-1383（報道室代表）
web：http://www.cao.go.jp/",無料,,,内閣府大臣官房政策評価広報課,100-8914,東京都千代田区永田町1-6-1中央合同庁舎第8号館,03-5253-2111,,,,http://www.cao.go.jp/,"03-6257-1297（広報課代表）
03-6257-1383（報道室代表）"
